Evaluation,mean,median,count,prop_0_0p5,prop_0p5_1,prop_0.5_3,prop_0.5_5,prop_0.5_30,prop_1_3,prop_1_5,prop_1_30,prop_3_30,prop_5_30,prop_gt10,prop_sum_check
NV-NOD-TW-24019_2024-06-05,0.33430502412366153,0.2251322766933492,3921,0.8235144095893905,0.12649834225962764,0.17648559041060954,0.17648559041060954,0.17648559041060954,0.04998724815098189,0.04998724815098189,0.04998724815098189,0,0,0,1.6294312675337927
CA-APFO-TW-22084_2022-07-21,0.06573532152219788,0.03999999910593033,5297,0.9856522559939589,0.010194449688502926,0.014347744006041155,0.014347744006041155,0.014347744006041155,0.004153294317538229,0.004153294317538229,0.004153294317538229,0,0,0,1.0513498206531997
CA-ELFO-TW-24026_2024-06-02,0.01546575307999163,0.00999999977648258,3650,1,0,0,0,0,0,0,0,0,0,0,1
NV-NCD-RW-23538_2023-08-16,0.29394301469780176,0.23088982947549577,2176,0.9080882352941176,0.07169117647058823,0.08685661764705882,0.09191176470588236,0.09191176470588236,0.015165441176470588,0.02022058823529412,0.02022058823529412,0.00505514705882353,0,0,1.311121323529412
NV-WND-RW-23583_2023-09-01,0.29435627513568896,0.25,2470,0.9008097165991903,0.09392712550607288,0.09919028340080972,0.09919028340080972,0.09919028340080972,0.005263157894736842,0.005263157894736842,0.005263157894736842,0,0,0,1.3080971659919032
NV-NCD-RW-23561_2023-09-30,0.07437843432740986,0.03999999910593033,6733,0.9893064013069954,0.010693598693004604,0.010693598693004604,0.010693598693004604,0.010693598693004604,0,0,0,0,0,0,1.0320807960790137
NV-WND-RW-23629_2023-09-16,1.4414052778573447,1.2748147911495633,3864,0.08747412008281573,0.2888198757763975,0.8674948240165632,0.9125258799171843,0.9125258799171843,0.5786749482401656,0.6237060041407867,0.6237060041407867,0.04503105590062112,0,0,4.939958592132505
NV-NOD-RW-24665_2024-07-05,0.04255744404346168,0.02999999932944774,5353,1,0,0,0,0,0,0,0,0,0,0,1
CA-ELFO-TW-22086_2022-05-27,0.02716381765477977,0.02999999932944774,6202,1,0,0,0,0,0,0,0,0,0,0,1
CA-ELFO-TW-22143_2023-05-18,0.12526785695106432,0.07999999821186066,3248,0.9769088669950738,0.02247536945812808,0.023091133004926108,0.023091133004926108,0.023091133004926108,6.157635467980296e-4,6.157635467980296e-4,6.157635467980296e-4,0,0,0,1.0705049261083746
CA-ELFO-TW-23002_2023-08-01,0.2028961581852184,0.0800817445915304,3332,0.9186674669867947,0.05042016806722689,0.0699279711884754,0.07653061224489796,0.08133253301320528,0.019507803121248498,0.02611044417767107,0.03091236494597839,0.011404561824729893,0.004801920768307323,0,1.2896158463385357
NV-NCD-RW-22547_2022-08-20,0.03295666099455727,0.01999999955296516,3115,1,0,0,0,0,0,0,0,0,0,0,1
NV-NOD-RW-24687_2024-08-15,0.06494994418026342,0.03999999910593033,5394,0.9975899147200593,0.002410085279940675,0.002410085279940675,0.002410085279940675,0.002410085279940675,0,0,0,0,0,0,1.007230255839822
NV-NCD-RW-22574_2022-09-04,1.342257749549178,0.6399999856948853,1032,0.4001937984496124,0.2248062015503876,0.4641472868217054,0.5484496124031008,0.5998062015503876,0.23934108527131784,0.3236434108527132,0.375,0.13565891472868216,0.05135658914728682,0,3.3624031007751936
NV-NOD-RW-23696_2023-09-01,0.7633884801876312,0.4793000000715256,3264,0.5131740196078431,0.2806372549019608,0.4491421568627451,0.48682598039215685,0.48682598039215685,0.16850490196078433,0.20618872549019607,0.20618872549019607,0.03768382352941176,0,0,2.835171568627451
NV-NOD-RW-23704_2023-08-17,0.11616956070826538,0.10999999940395357,979,1,0,0,0,0,0,0,0,0,0,0,1
NV-WND-RW-22533_2022-06-26,0.03581140306194717,0.02999999932944774,3192,1,0,0,0,0,0,0,0,0,0,0,1
NV-NOD-TW-24034_2024-08-03,0.2191920610855736,0.10000000149011612,4988,0.9061748195669607,0.04611066559743384,0.09282277465918204,0.09382518043303929,0.09382518043303929,0.0467121090617482,0.04771451483560545,0.04771451483560545,0.0010024057738572574,0,0,1.3759021651964716
CA-APFO-TW-23098_2023-06-24,2.528929251168987,1.905066637992859,5781,0.05829441273136136,0.17159660958311712,0.6047396644179208,0.8154298564262238,0.9417055872686386,0.43314305483480364,0.6438332468431067,0.7701089776855216,0.33696592285071786,0.1262757308424148,0,4.902093063483826
CA-ELFO-TW-22129_2023-07-09,0.11145622897516898,0.09000000357627869,3564,0.9943883277216611,0.005611672278338945,0.005611672278338945,0.005611672278338945,0.005611672278338945,0,0,0,0,0,0,1.016835016835017
CA-APFO-TW-22085_2022-08-03,0.1014324259510922,0.10000000149011612,4077,1,0,0,0,0,0,0,0,0,0,0,1
NV-NOD-RW-22530_2022-06-12,0.11007608693983892,0.09000000357627869,3680,0.9991847826086957,8.152173913043478e-4,8.152173913043478e-4,8.152173913043478e-4,8.152173913043478e-4,0,0,0,0,0,0,1.002445652173913
NV-NOD-TW-24036_2024-07-04,1.3322363382197786,1.3054716452112738,8107,0.02294313556186012,0.2533612927100037,0.9744665104230912,0.9770568644381399,0.9770568644381399,0.7211052177130874,0.7236955717281361,0.7236955717281361,0.002590354015048723,0,0,5.375971382755643
CA-APFO-TW-23094_2023-08-20,0.8532151623150394,0.4194117620879528,8970,0.5469342251950947,0.21360089186176143,0.3736900780379041,0.43567447045707913,0.45306577480490523,0.1600891861761427,0.22207357859531773,0.2394648829431438,0.07937569676700111,0.017391304347826087,0,2.741360089186176
CA-ELFO-TW-21123_2023-08-02,0.07519599085296183,0.05999999865889549,4490,0.9913140311804008,0.008017817371937639,0.00868596881959911,0.00868596881959911,0.00868596881959911,6.681514476614699e-4,6.681514476614699e-4,6.681514476614699e-4,0,0,0,1.02739420935412
